Measured Distance (cm)
47.87
47.87
47.86
47.86
47.86
47.87
48.26
47.86
47.86
48.28
47.86
47.87
47.87
48.28
48.26
48.28
47.87
47.87
47.87
47.87
47.87
47.87
47.87
47.92
47.87
48.28
47.91
48.28
47.87
48.28
47.87
47.87
48.28
47.87
47.87
47.87
47.87
47.87
48.28
48.28
47.87
47.89
47.87
47.87
47.89
47.89
47.89
47.89
47.91
47.89
