Measured Distance (cm)
97.46
97.48
97.5
97.48
97.48
97.51
97.48
97.5
97.48
97.5
97.5
97.5
97.5
97.5
97.5
97.48
97.5
97.5
97.5
97.55
97.55
97.55
97.5
97.55
97.53
97.5
97.5
97.51
97.53
97.51
97.55
97.55
97.56
97.51
97.55
97.56
97.55
97.55
97.55
97.55
97.55
97.55
97.55
97.55
97.53
97.55
97.55
97.55
97.55
97.53
