Measured Duration (µs)
1134
1134
1134
1135
1135
1134
1135
1134
1134
1134
1134
1134
1134
1135
1134
1134
1134
1134
1134
1134
1135
1134
1134
1110
1110
1110
1110
1110
1134
1134
1134
1134
1134
1135
1134
1134
1134
1134
1135
1135
1135
1134
1135
1134
1134
1135
1134
1135
1134
1134
1135
1134
1110
1135
1111
1134
1134
1135
1134
1134
1134
1134
1134
1134
1134
1110
1135
1134
1135
1134
1134
1134
1134
1134
1134
1135
1110
1135
1134
1110
1110
1134
1134
1134
1134
1110
1110
1134
1110
1134
1134
1134
1110
1134
1134
1110
1134
1110
1134
1134
