Distance (cm),Mean Duration (µs),Standard Deviation (µs)
10,609.67,12.097152557523609
20,1130.12,9.087661965544275
30,1684.47,6.005755572781829
40,2255.02,5.359067082991218
50,2792.74,11.866440072742963
