Measured Duration (µs)
1711
1711
1711
1711
1711
1711
1711
529
2204
2246
2260
2263
2264
2263
2239
2263
2263
2267
2268
2267
2267
2266
2263
2264
2267
2267
2266
2267
2267
2266
2267
2241
2267
2267
2267
2267
2267
2267
2263
2267
2267
2242
2242
2241
2267
2267
2241
2267
2267
2266
2266
2266
2267
2263
2266
2264
2267
2267
2267
2241
2266
2266
2267
2242
2242
2267
2241
2267
2268
2267
2267
2267
2266
2267
2267
2267
2267
2267
2267
2267
2267
2242
2267
2267
2242
2267
2267
2267
2268
2267
2267
2264
2267
2267
2267
2268
2267
2267
2267
2267
