distance_cm,distance_int,sent_message,received_message,timestamp
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x43bb50b Data=0000040f00000000],2024-07-04 16:09:21
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x43bdc31 Data=0000043800000000],2024-07-04 16:09:22
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x43c0359 Data=0000044200000000],2024-07-04 16:09:23
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x43c2a80 Data=0000043800000000],2024-07-04 16:09:24
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x43c51a4 Data=0000043800000000],2024-07-04 16:09:25
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x43c78cc Data=0000043800000000],2024-07-04 16:09:26
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x43c9ff2 Data=0000044200000000],2024-07-04 16:09:27
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x43cc71a Data=0000044200000000],2024-07-04 16:09:28
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x43cee41 Data=0000043800000000],2024-07-04 16:09:29
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x43d1567 Data=0000043800000000],2024-07-04 16:09:30
11.2,1120,CanalystMessage ID=0x1 TS=0x0 Data=0000046000000000,[CanalystMessage ID=0x1 TS=0x43d3c92 Data=0000046000000000],2024-07-04 16:09:31
10.47,1047,CanalystMessage ID=0x1 TS=0x0 Data=0000041700000000,[CanalystMessage ID=0x1 TS=0x43d63ba Data=0000041700000000],2024-07-04 16:09:32
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x43d8ae2 Data=0000043800000000],2024-07-04 16:09:33
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x43db206 Data=0000043800000000],2024-07-04 16:09:34
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x43dd92d Data=0000040d00000000],2024-07-04 16:09:35
10.49,1049,CanalystMessage ID=0x1 TS=0x0 Data=0000041900000000,[CanalystMessage ID=0x1 TS=0x43e0051 Data=0000041900000000],2024-07-04 16:09:36
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x43e277b Data=0000043800000000],2024-07-04 16:09:37
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x43e4ea1 Data=0000043800000000],2024-07-04 16:09:38
10.8,1080,CanalystMessage ID=0x1 TS=0x0 Data=0000043800000000,[CanalystMessage ID=0x1 TS=0x43e75c6 Data=0000043800000000],2024-07-04 16:09:39
10.9,1090,CanalystMessage ID=0x1 TS=0x0 Data=0000044200000000,[CanalystMessage ID=0x1 TS=0x43e9cee Data=0000044200000000],2024-07-04 16:09:40
10.37,1037,CanalystMessage ID=0x1 TS=0x0 Data=0000040d00000000,[CanalystMessage ID=0x1 TS=0x43ec415 Data=0000040d00000000],2024-07-04 16:09:41
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x43eeb3b Data=0000040f00000000],2024-07-04 16:09:42
10.39,1039,CanalystMessage ID=0x1 TS=0x0 Data=0000040f00000000,[CanalystMessage ID=0x1 TS=0x43f1263 Data=0000040f00000000],2024-07-04 16:09:43
10.47,1047,CanalystMessage ID=0x1 TS=0x0 Data=0000041700000000,[CanalystMessage ID=0x1 TS=0x43f3988 Data=0000041700000000],2024-07-04 16:09:44
9.96,996,CanalystMessage ID=0x1 TS=0x0 Data=000003e400000000,[CanalystMessage ID=0x1 TS=0x43f60a6 Data=000003e400000000],2024-07-04 16:09:45
9.95,994,CanalystMessage ID=0x1 TS=0x0 Data=000003e200000000,[CanalystMessage ID=0x1 TS=0x43f87c9 Data=000003e200000000],2024-07-04 16:09:46
10.49,1049,CanalystMessage ID=0x1 TS=0x0 Data=0000041900000000,[CanalystMessage ID=0x1 TS=0x43faefd Data=0000041900000000],2024-07-04 16:09:47
10.49,1049,CanalystMessage ID=0x1 TS=0x0 Data=0000041900000000,[CanalystMessage ID=0x1 TS=0x43fd620 Data=0000041900000000],2024-07-04 16:09:48
